#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
71.6%	3580000	-235407.60159814986	301.9984184347108	631
71.8%	3590000	-235330.32772577438	304.6262385208372	631
72.0%	3600000	-234137.65760553512	302.5115067746004	631
72.2%	3610000	-234936.39640558395	306.67226729016517	631
72.4%	3620000	-234925.04791010055	302.81785923705735	631
72.6%	3630000	-235656.20193231734	296.98114471169873	631
72.8%	3640000	-235108.97662103805	303.56165994001617	631
73.0%	3650000	-235283.88859308395	301.6392977590518	631
73.2%	3660000	-235168.15368402633	298.6768996740087	631
73.4%	3670000	-235708.77502191695	301.39456980824144	631
73.6%	3680000	-235547.4539464775	300.3261038528263	631
73.8%	3690000	-234631.38091791305	298.33634901494577	631
74.0%	3700000	-235086.56255853805	299.50468128810263	631
74.2%	3710000	-234556.66216791305	300.62584890503103	631
74.4%	3720000	-235288.3452733818	296.42198122017726	631
74.6%	3730000	-234745.70928705367	298.40270171726013	631
74.8%	3740000	-234890.13801324996	302.69036996804533	631
75.0%	3750000	-235127.645497686	301.7940978071193	631
75.2%	3760000	-234489.5516179863	296.77154521712947	631
75.4%	3770000	-235392.437054998	295.63251576319954	631
75.6%	3780000	-235227.09948480758	304.8372734075055	631
75.8%	3790000	-235579.2979711357	302.9958424957721	631
76.0%	3800000	-234389.60903680953	299.89030257444705	631
76.2%	3810000	-235452.55531824264	298.57608298156117	631
76.4%	3820000	-234911.1680883232	299.84997979169634	631
76.6%	3830000	-235034.42425287399	303.7226939679727	631
76.8%	3840000	-234821.63369501266	297.77694637026934	631
77.0%	3850000	-235074.7843145195	301.01781865812364	631
77.2%	3860000	-235468.71975458297	301.73482354703634	631
77.4%	3870000	-235289.51041925582	301.9106009160544	631
77.6%	3880000	-235128.8526738945	299.94472885751156	631
77.8%	3890000	-234304.4316228691	301.9553148234081	631
78.0%	3900000	-234933.42760980758	302.1210825070076	631
78.2%	3910000	-234646.86544550094	302.69802732710343	632
78.4%	3920000	-235069.3395360771	300.67459341376167	632
78.6%	3930000	-234528.30294550094	302.1915350425726	632
78.8%	3940000	-234911.64779413375	300.63549041950597	632
79.0%	3950000	-234794.42832697066	300.6494859359043	632
79.2%	3960000	-234373.23389948043	303.4922673731588	632
79.4%	3970000	-235459.05824030074	298.74800937785477	632
79.6%	3980000	-234889.93597162399	301.6235652100266	632
79.8%	3990000	-234831.55419672164	304.64438308402714	632
80.0%	4000000	-235073.5136388603	301.29590467078566	632
80.2%	4010000	-234931.87935388717	305.5181858928565	632
80.4%	4020000	-235326.2391027275	301.96018794173483	632
80.6%	4030000	-236043.10857904586	297.8296940911095	632
80.8%	4040000	-235934.24395502242	297.6888167779256	632
81.0%	4050000	-234938.59521234664	303.45776301705894	632
81.2%	4060000	-235584.21821344527	298.6943702787951	632
81.4%	4070000	-235373.5511754814	305.2568802170109	632
81.6%	4080000	-235207.6726964775	303.07223081760037	632
81.8%	4090000	-235237.00643671188	302.1511308098615	632
82.0%	4100000	-235694.06803644332	299.0667772872809	632
82.2%	4110000	-234591.3014501396	298.44369156536106	632
82.4%	4120000	-235195.55122125777	300.9626590004064	632
82.6%	4130000	-235845.3346837822	301.2463225405367	632
82.8%	4140000	-235003.58569086227	299.9269917704851	632
83.0%	4150000	-235049.45815790328	304.09946598660196	632
83.2%	4160000	-234694.74303949508	300.7892615889816	632
83.4%	4170000	-235165.90896356734	301.15633771010147	632
83.6%	4180000	-234905.77700555953	301.22276245352737	632
83.8%	4190000	-234831.9980138603	302.50419433568953	632
84.0%	4200000	-235138.59090936813	303.02434919664955	632
84.2%	4210000	-234984.19337213668	301.01834340418134	632
84.4%	4220000	-235443.42272699508	298.52095664013814	632
84.6%	4230000	-235302.54800165328	299.6331055512358	632
84.8%	4240000	-235271.97607172164	296.65706777845173	632
85.0%	4250000	-235743.49966180953	297.2372078621938	632
85.2%	4260000	-235631.35116327438	305.69284986125194	632
85.4%	4270000	-235497.09893549117	300.44015231935913	632
85.6%	4280000	-235478.47997797164	304.2068044860384	632
85.8%	4290000	-235177.41985071334	301.2891117723021	632
86.0%	4300000	-236570.5170186821	299.18659345468586	632
86.2%	4310000	-235483.36086786422	298.9110827783232	632
86.4%	4320000	-234618.35528314742	304.1095094537371	632
86.6%	4330000	-234459.05686700973	301.8000093991471	632
86.8%	4340000	-235427.0139211479	297.27379123435037	632
87.0%	4350000	-235250.90606439742	300.99463439741123	632
87.2%	4360000	-235316.60105646285	299.7519182212023	632
87.4%	4370000	-235778.05346429977	299.85533610209734	632
87.6%	4380000	-235044.16727960738	301.91548949143754	632
87.8%	4390000	-235567.48360956344	297.8675849321824	632
88.0%	4400000	-235503.28698480758	304.68933621633835	632
88.2%	4410000	-236120.07841241988	299.1687757428581	632
88.4%	4420000	-234729.09225214156	301.89582367263944	632
88.6%	4430000	-235310.90212762984	300.4500798024938	632
88.8%	4440000	-235029.31997430953	301.8888843931874	632
89.0%	4450000	-234143.08949793014	296.7913613902374	632
89.2%	4460000	-235097.34594476852	299.683256084815	632
89.4%	4470000	-235857.67023981246	297.2047951292433	632
89.6%	4480000	-235999.2390874687	303.888311293908	632
89.8%	4490000	-235989.3154271904	301.64393756990376	632
90.0%	4500000	-235667.24072015914	297.4895368814539	632
90.2%	4510000	-235507.34647119674	299.9479852548524	632
90.4%	4520000	-235917.0850805107	297.0222592487344	632
90.6%	4530000	-235347.87476862106	305.10138554413885	632
90.8%	4540000	-235602.5087560478	303.70924514188465	632
91.0%	4550000	-235255.45196283492	298.49983343825653	632
91.2%	4560000	-234364.02303827438	303.6995175202999	632
91.4%	4570000	-235020.8027318779	300.3546030282604	632
91.6%	4580000	-235535.011563665	302.7428180418643	632
91.8%	4590000	-235211.05227411422	301.93689418774073	632
92.0%	4600000	-235680.9840978447	300.7307865810581	632
92.2%	4610000	-235294.43256128463	300.32864382872765	632
92.4%	4620000	-235178.33459222945	303.5542162745335	632
92.6%	4630000	-235411.99206293258	296.15782058038343	632
92.8%	4640000	-236158.80001581344	298.94255737890603	632
93.0%	4650000	-234875.68516290816	299.39038328059144	632
93.2%	4660000	-234913.29565179977	300.2779865614196	632
