#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
69.6%	3480000	-258627.54585503577	301.73104931947955	632
69.8%	3490000	-259369.14265679359	302.5984649670409	632
70.0%	3500000	-258387.82936333655	298.03960073046227	632
70.2%	3510000	-258366.07210015296	300.0088779768962	632
70.4%	3520000	-258595.41127251624	302.316341622552	632
70.6%	3530000	-259313.1765313053	300.45085095648557	632
70.8%	3540000	-259767.03987359046	302.23008109110987	632
71.0%	3550000	-259420.20845269202	299.4922845843598	632
71.2%	3560000	-259473.01826714515	303.6935786371376	632
71.4%	3570000	-259955.89677666663	296.63943592734375	632
71.6%	3580000	-260739.67824028968	298.65061019244257	632
71.8%	3590000	-259108.32269524573	300.3073112653464	632
72.0%	3600000	-258683.59718560218	301.94759686564026	632
72.2%	3610000	-259289.47191094398	299.3325227454245	632
72.4%	3620000	-258750.76362847327	297.2450377040492	632
72.6%	3630000	-259595.28120659827	300.8384564992998	632
72.8%	3640000	-258701.71199273109	302.70696694911044	632
73.0%	3650000	-259213.3186821842	300.84216240524773	632
73.2%	3660000	-258977.78944634437	302.21714984175077	632
73.4%	3670000	-259195.44136284827	302.7859965284327	632
73.6%	3680000	-259717.94380425452	299.5887691598277	632
73.8%	3690000	-259066.71443413734	299.3283010755931	632
74.0%	3700000	-259872.87428521155	302.6910626551006	632
74.2%	3710000	-259464.67018364905	299.42012343672906	632
74.4%	3720000	-259114.78523491859	302.8869441987321	632
74.6%	3730000	-259269.1175103092	303.1063842942871	632
74.8%	3740000	-259030.64274834632	300.84283080374	632
75.0%	3750000	-258825.37874077796	303.62048502467894	632
75.2%	3760000	-258735.6377434635	297.90160025321654	632
75.4%	3770000	-259262.86885308265	300.7532753305201	632
75.6%	3780000	-258574.07783745765	302.67341173560675	632
75.8%	3790000	-259014.14796685218	298.20619148700837	632
76.0%	3800000	-259625.6578545475	297.42278335016124	632
76.2%	3810000	-259003.01100396155	299.7945688267456	632
76.4%	3820000	-259022.4494194889	300.2505722444551	632
76.6%	3830000	-259616.44932793616	300.4735736910368	632
76.8%	3840000	-257979.0109276676	303.67780311072926	632
77.0%	3850000	-259129.21132134437	299.45287191385796	632
77.2%	3860000	-259307.55537652015	301.1042311594026	632
77.4%	3870000	-258746.26063775062	301.6608685405575	632
77.6%	3880000	-259539.78212212562	303.78048809136845	632
77.8%	3890000	-259176.42952202796	300.0369354132637	632
